timestep,junctionid,edge1_vehicle_count,edge2_vehicle_count,edge1_waiting_vehicle_count,edge2_waiting_vehicle_count,edge1_light_state,edge2_light_state,nextswitchtime,edge1_congestion,edge2_congestion
2020,132200274,0,5,0,5,y,r,1.0,Non-Congested,Congested
2020,47217361,1,1,1,0,r,r,0.0,Non-Congested,Non-Congested
2020,cluster_1420096799_47154676,0,1,0,1,r,r,4.0,Non-Congested,Non-Congested
2020,cluster_181310323_5380872437,1,0,0,0,r,G,1.0,Non-Congested,Non-Congested
2020,cluster_2455590523_389713_47212064,0,2,0,0,r,y,3.0,Non-Congested,Non-Congested
2020,cluster_2461783448_38980632_5243070374,5,11,3,11,G,r,0.0,Congested,Congested
2020,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2020,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,3,y,r,2.0,Non-Congested,Non-Congested
2021,132200274,0,5,0,5,y,r,0.0,Non-Congested,Congested
2021,47217361,1,2,1,0,r,r,1.0,Non-Congested,Non-Congested
2021,cluster_1420096799_47154676,0,1,0,1,r,r,3.0,Non-Congested,Non-Congested
2021,cluster_181310323_5380872437,1,0,0,0,r,G,0.0,Non-Congested,Non-Congested
2021,cluster_2455590523_389713_47212064,0,2,0,0,r,y,2.0,Non-Congested,Non-Congested
2021,cluster_2461783448_38980632_5243070374,4,11,3,11,G,r,9.0,Congested,Congested
2021,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2021,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,y,r,1.0,Non-Congested,Non-Congested
2022,132200274,0,5,0,5,r,G,4.0,Non-Congested,Congested
2022,47217361,1,2,1,0,r,r,0.0,Non-Congested,Non-Congested
2022,cluster_1420096799_47154676,0,1,0,1,r,r,2.0,Non-Congested,Non-Congested
2022,cluster_181310323_5380872437,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested
2022,cluster_2455590523_389713_47212064,0,1,0,0,r,y,1.0,Non-Congested,Non-Congested
2022,cluster_2461783448_38980632_5243070374,4,11,3,11,G,r,8.0,Congested,Congested
2022,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2022,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,5,y,r,0.0,Non-Congested,Non-Congested
2023,132200274,0,5,0,5,r,G,3.0,Non-Congested,Congested
2023,47217361,1,2,1,0,r,r,0.0,Non-Congested,Non-Congested
2023,cluster_1420096799_47154676,0,1,0,1,r,r,1.0,Non-Congested,Non-Congested
2023,cluster_181310323_5380872437,1,0,0,0,r,y,2.0,Non-Congested,Non-Congested
2023,cluster_2455590523_389713_47212064,0,1,0,0,r,y,0.0,Non-Congested,Non-Congested
2023,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,7.0,Congested,Congested
2023,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2023,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,4.0,Non-Congested,Non-Congested
2024,132200274,0,5,0,5,r,G,2.0,Non-Congested,Congested
2024,47217361,1,3,1,0,r,r,0.0,Non-Congested,Non-Congested
2024,cluster_1420096799_47154676,0,1,0,1,r,r,0.0,Non-Congested,Non-Congested
2024,cluster_181310323_5380872437,1,0,0,0,r,y,1.0,Non-Congested,Non-Congested
2024,cluster_2455590523_389713_47212064,0,1,0,0,G,r,4.0,Non-Congested,Non-Congested
2024,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,6.0,Congested,Congested
2024,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2024,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,5,r,G,3.0,Non-Congested,Congested
2025,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2025,47217361,1,3,1,0,r,r,2.0,Non-Congested,Non-Congested
2025,cluster_1420096799_47154676,0,1,0,1,r,r,3.0,Non-Congested,Non-Congested
2025,cluster_181310323_5380872437,1,0,0,0,r,y,0.0,Non-Congested,Non-Congested
2025,cluster_2455590523_389713_47212064,0,2,0,1,G,r,3.0,Non-Congested,Non-Congested
2025,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,5.0,Congested,Congested
2025,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2025,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,2.0,Non-Congested,Non-Congested
2026,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2026,47217361,1,3,1,0,r,r,1.0,Non-Congested,Non-Congested
2026,cluster_1420096799_47154676,0,1,0,1,r,r,2.0,Non-Congested,Non-Congested
2026,cluster_2455590523_389713_47212064,0,2,0,1,G,r,2.0,Non-Congested,Non-Congested
2026,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,4.0,Congested,Congested
2026,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2026,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,1.0,Non-Congested,Non-Congested
2027,132200274,0,5,0,5,r,y,2.0,Non-Congested,Congested
2027,47217361,1,4,1,0,r,r,0.0,Non-Congested,Non-Congested
2027,cluster_1420096799_47154676,0,1,0,1,r,r,1.0,Non-Congested,Non-Congested
2027,cluster_2455590523_389713_47212064,0,1,0,1,G,r,1.0,Non-Congested,Non-Congested
2027,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,3.0,Congested,Congested
2027,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2027,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,3,r,G,0.0,Non-Congested,Non-Congested
2028,132200274,0,5,0,5,r,y,1.0,Non-Congested,Congested
2028,47217361,1,4,1,0,r,G,4.0,Non-Congested,Non-Congested
2028,cluster_1420096799_47154676,0,1,0,1,r,r,0.0,Non-Congested,Non-Congested
2028,cluster_2455590523_389713_47212064,0,1,0,1,G,r,0.0,Non-Congested,Non-Congested
2028,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,2.0,Congested,Congested
2028,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2028,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,2,r,G,1.0,Non-Congested,Congested
2029,132200274,0,5,0,5,r,y,0.0,Non-Congested,Congested
2029,47217361,1,3,1,0,r,G,3.0,Non-Congested,Non-Congested
2029,cluster_1420096799_47154676,0,1,0,0,r,G,6.0,Non-Congested,Non-Congested
2029,cluster_181310323_5380872437,0,1,0,0,G,r,3.0,Non-Congested,Non-Congested
2029,cluster_2455590523_389713_47212064,0,1,0,1,y,r,3.0,Non-Congested,Non-Congested
2029,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,1.0,Congested,Congested
2029,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2029,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,3,r,G,0.0,Non-Congested,Non-Congested
2030,132200274,0,5,0,5,G,r,4.0,Non-Congested,Congested
2030,47217361,1,2,1,0,r,G,2.0,Non-Congested,Non-Congested
2030,cluster_181310323_5380872437,0,1,0,0,G,r,2.0,Non-Congested,Non-Congested
2030,cluster_2455590523_389713_47212064,0,1,0,1,y,r,2.0,Non-Congested,Non-Congested
2030,cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,0.0,Congested,Congested
2030,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2030,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,1,r,G,1.0,Non-Congested,Non-Congested
2031,132200274,0,5,0,5,G,r,3.0,Non-Congested,Congested
2031,47217361,1,1,1,0,r,G,1.0,Non-Congested,Non-Congested
2031,cluster_181310323_5380872437,0,1,0,0,G,r,1.0,Non-Congested,Non-Congested
2031,cluster_2455590523_389713_47212064,0,1,0,1,y,r,1.0,Non-Congested,Non-Congested
2031,cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,4.0,Congested,Congested
2031,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2031,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,1,r,G,0.0,Non-Congested,Non-Congested
2032,132200274,0,5,0,5,G,r,2.0,Non-Congested,Congested
2032,47217361,1,2,1,0,r,G,0.0,Non-Congested,Non-Congested
2032,cluster_2455590523_389713_47212064,0,1,0,1,y,r,0.0,Non-Congested,Non-Congested
2032,cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,3.0,Congested,Congested
2032,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2032,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,1,r,G,1.0,Non-Congested,Non-Congested
2033,132200274,0,5,0,5,G,r,1.0,Non-Congested,Congested
2033,47217361,1,1,1,0,r,G,0.0,Non-Congested,Non-Congested
2033,cluster_2455590523_389713_47212064,0,1,0,0,r,r,6.0,Non-Congested,Congested
2033,cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,2.0,Congested,Congested
2033,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2033,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested
2034,132200274,0,5,0,5,G,r,0.0,Non-Congested,Congested
2034,47217361,1,1,1,0,r,y,2.0,Non-Congested,Non-Congested
2034,cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,1.0,Congested,Congested
2034,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested
2034,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested
2035,132200274,0,5,0,5,y,r,2.0,Non-Congested,Congested
2035,47217361,1,1,1,0,r,y,1.0,Non-Congested,Non-Congested
2035,cluster_2455590523_389713_47212064,0,1,0,0,r,r,4.0,Non-Congested,Non-Congested
2035,cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,0.0,Congested,Congested
2035,cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested
2035,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested
2036,132200274,0,5,0,5,y,r,1.0,Non-Congested,Congested
2036,47217361,1,1,1,0,r,y,0.0,Non-Congested,Non-Congested
